"","pln_richness","pln_sigma.sig","pln_loglik","cegs_richness","cegs_gamma","cegs_loglik","nb_richness","nb_size.size","nb_loglik","nb_prob.prob"
"48",134.649051897708,1.97570813065308,-294.224934008317,181.093147012059,2.33759198647417,-356.877706496447,4963.75432170355,0.005,-279.241861858423,0.0247085596361619
"49",86.2913659533198,1.44190018084754,-232.119963765088,98.7184205460526,1.21385475211045,-254.579377401973,113.720465024332,0.363162051958576,-217.762359484467,0.0632178583708155
"50",103.677622030557,1.53121537033337,-133.430072946506,136.405537398203,1.62211969218166,-182.592570489404,209.016376399002,0.174876231854799,-121.396971964981,0.150079837911547
"51",2054247.35247222,13.6871953997625,-87.8421231368223,237.709320473742,1.96067842293255,-265.263972698323,6708.05788341149,0.005,-179.21738455045,0.0854446347829593
"52",215.240629727417,1.53073274781034,-123.000632144339,298.014651968351,1.72881159810765,-226.644922273672,9882.76891881454,0.00499999999999992,-118.936928593631,0.213530662745812
"53",6.00000005471137,0.202233627716753,-20.397613372595,6.24166229261482,0.000309967170723563,-25.6292581344285,6.0000000007992,604.42016855678,-17.4040946472245,0.963077433975753
"54",6.0253503480267,0.60623510652259,-19.9710546007616,6.51430371750071,0.000166184263373624,-21.4839536816712,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",261.271347908781,4.40247202004203,-6.19644365871613,NA,NA,NA,236.6061946367,0.005,-6.43543112794624,0.077919980352844
"60",275.546406864705,4.05734838114141,-5.34311048027736,NA,NA,NA,317.872683430193,0.005,-5.33159938454011,0.150091270369132
"61",7.60275617056412,0.749103035821046,-11.7097456687565,NA,NA,NA,9.82325912986386,0.781666348132728,-11.4528108039154,0.299024945660707
"62",7.5310141582583,0.0168524376852666,-7.98223555003061,NA,NA,NA,7.57399382998156,87.9289201952328,-7.9884423211343,0.982290794101145
"63",15.1357709648628,0.987909960345907,-11.9240985563375,NA,NA,NA,65.4415774752518,0.104309941630595,-11.6573792823931,0.286499349536318
"64",8.87905285086658,0.00895689842363461,-5.9897192192929,NA,NA,NA,8.91574837593672,114.164151268349,-6.00374842087974,0.990257543706363
"65",11.0356603855513,1.39954744545009,-8.7489793813564,NA,NA,NA,NA,NA,NA,NA
"66",9.3049423074776,0.0413003676947631,-8.81920924791765,NA,NA,NA,9.4116691517711,47.107443685118,-8.82120365260803,0.971508948161487
"67",10.2955710364777,0.0112986037937998,-5.29535327215667,NA,NA,NA,NA,NA,NA,NA
"68",7.5310141582583,0.0168524376852666,-7.98223555003061,NA,NA,NA,7.57399382998156,87.9289201952328,-7.9884423211343,0.982290794101145
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2.00067333264633,0.00364242881052161,-3.93757533989679,NA,NA,NA,2.00072038073288,449.685339372829,-3.95506121360011,0.982521690553421
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2.00067333264633,0.00364242881052161,-3.93757533989679,NA,NA,NA,2.00072038073288,449.685339372829,-3.95506121360011,0.982521690553421
"73",172.72565450727,3.92574923533303,-5.5886849642955,NA,NA,NA,293.221160820034,0.005,-5.61347101832212,0.127865454462123
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",35.8245364619073,1.71316955901168,-49.0407219635,48.0357675164877,1.92008237765535,-66.4391267498331,64.0599782999615,0.211390659668037,-39.8232988044997,0.170247204453778
