"","pln_richness","pln_sigma.sig","cegs_richness","cegs_gamma","nb_richness","nb_size.size","nb_prob.prob"
"68",7.5310141582583,0.0168524376852666,NA,NA,7.57399382998156,87.9289201952328,0.982290794101145
"69",NA,NA,NA,NA,NA,NA,NA
"70",2.00067333264633,0.00364242881052161,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA
"72",2.00067333264633,0.00364242881052161,NA,NA,NA,NA,NA
"73",3.13866547979699,0.640878951444067,NA,NA,3.30019239439531,1.74389765516281,0.252918888034223
"74",NA,NA,NA,NA,NA,NA,NA
"75",35.8245364619073,1.71316955901168,48.0357675164877,1.92008237765535,64.0599782999615,0.211390659668037,0.170247204453778
"76",39.2764409311944,1.25568986894442,47.761713866886,1.06368725526142,40.009000351991,0.999361473234578,0.399900870659509
"77",34.6744600682393,0.897056008119022,39.1261190445436,0.293344431923832,34.7237550735117,2.17573416440717,0.52998832786861
